B00, 0
B01, 0
B02, 1
B02, Trade, 98.500, 91, B02, S00, 1
B03, 0
B04, 7
B04, Trade, 2649.136, 164, B04, S02, 1
B04, Trade, 2943.591, 158, B04, S00, 1
B04, Trade, 3040.864, 170, B04, S01, 1
B04, Trade, 5884.864, 171, B04, S03, 1
B04, Trade, 5983.773, 167, B04, S00, 1
B04, Trade, 6081.318, 147, S01, B04, 1
B04, Trade, 6178.727, 169, B04, S00, 1
B05, 10
B05, Trade, 98.045, 186, B05, S01, 1
B05, Trade, 1668.955, 200, B05, S01, 1
B05, Trade, 1863.682, 184, B05, S00, 1
B05, Trade, 2551.591, 165, S00, B05, 1
B05, Trade, 2846.727, 158, B05, S01, 1
B05, Trade, 3041.636, 193, B05, S02, 1
B05, Trade, 5593.727, 189, B05, S00, 1
B05, Trade, 5788.364, 154, B05, S02, 1
B05, Trade, 5886.591, 181, B05, S04, 1
B05, Trade, 6080.864, 132, S02, B05, 1
B06, 31
B06, Trade, 688.591, 207, S01, B06, 1
B06, Trade, 784.909, 206, S02, B06, 1
B06, Trade, 883.227, 207, S02, B06, 1
B06, Trade, 1178.136, 212, B06, S03, 1
B06, Trade, 1373.273, 206, S03, B06, 1
B06, Trade, 1672.045, 199, B06, S02, 1
B06, Trade, 2160.773, 181, S04, B06, 1
B06, Trade, 2256.182, 186, B06, S01, 1
B06, Trade, 2354.591, 170, S03, B06, 1
B06, Trade, 2452.409, 166, S01, B06, 1
B06, Trade, 2551.636, 165, S01, B06, 1
B06, Trade, 2649.818, 165, S03, B06, 1
B06, Trade, 2943.409, 158, B06, S01, 1
B06, Trade, 3140.409, 203, B06, S05, 1
B06, Trade, 3237.682, 203, B06, S03, 1
B06, Trade, 3534.045, 216, S05, B06, 1
B06, Trade, 3631.773, 216, S05, B06, 1
B06, Trade, 3727.500, 215, S00, B06, 1
B06, Trade, 3926.318, 213, B06, S03, 1
B06, Trade, 4024.318, 220, B06, S03, 1
B06, Trade, 4121.364, 221, B06, S03, 1
B06, Trade, 4220.045, 220, B06, S04, 1
B06, Trade, 5002.955, 202, S00, B06, 1
B06, Trade, 5100.227, 202, B06, S03, 1
B06, Trade, 5198.591, 215, S02, B06, 1
B06, Trade, 5297.545, 204, B06, S05, 1
B06, Trade, 5395.545, 208, B06, S04, 1
B06, Trade, 5884.545, 173, B06, S01, 1
B06, Trade, 5983.909, 172, S03, B06, 1
B06, Trade, 6081.091, 146, S00, B06, 1
B06, Trade, 6277.682, 169, B06, S03, 1
B07, 35
B07, Trade, 99.045, 198, B07, S02, 1
B07, Trade, 294.727, 218, S03, B07, 1
B07, Trade, 588.682, 233, B07, S03, 1
B07, Trade, 689.000, 204, S04, B07, 1
B07, Trade, 785.682, 204, B07, S00, 1
B07, Trade, 884.091, 208, B07, S03, 1
B07, Trade, 1571.273, 239, B07, S00, 1
B07, Trade, 1668.136, 237, B07, S04, 1
B07, Trade, 1765.500, 217, B07, S01, 1
B07, Trade, 1864.182, 189, S03, B07, 1
B07, Trade, 1961.818, 196, B07, S01, 1
B07, Trade, 2059.864, 175, S01, B07, 1
B07, Trade, 2158.091, 190, B07, S03, 1
B07, Trade, 2844.818, 140, S02, B07, 1
B07, Trade, 2944.000, 159, S03, B07, 1
B07, Trade, 3041.682, 178, B07, S03, 1
B07, Trade, 3532.727, 215, B07, S03, 1
B07, Trade, 3632.091, 214, B07, S01, 1
B07, Trade, 3826.318, 213, B07, S03, 1
B07, Trade, 4022.864, 224, S04, B07, 1
B07, Trade, 4120.091, 223, S05, B07, 1
B07, Trade, 4219.409, 221, B07, S00, 1
B07, Trade, 4316.500, 219, B07, S05, 1
B07, Trade, 5004.682, 199, S01, B07, 1
B07, Trade, 5100.727, 202, B07, S05, 1
B07, Trade, 5199.182, 214, B07, S05, 1
B07, Trade, 5298.818, 202, S03, B07, 1
B07, Trade, 5396.045, 203, B07, S01, 1
B07, Trade, 5492.364, 205, B07, S02, 1
B07, Trade, 5592.500, 193, B07, S01, 1
B07, Trade, 5786.818, 165, S03, B07, 1
B07, Trade, 5983.227, 180, B07, S02, 1
B07, Trade, 6180.500, 171, B07, S02, 1
B07, Trade, 6277.273, 168, S02, B07, 1
B07, Trade, 6474.409, 229, B07, S03, 1
B08, 21
B08, Trade, 98.227, 239, B08, S03, 1
B08, Trade, 690.091, 210, S05, B08, 1
B08, Trade, 785.591, 192, S01, B08, 1
B08, Trade, 883.000, 209, B08, S05, 1
B08, Trade, 982.091, 207, B08, S02, 1
B08, Trade, 1078.909, 204, S03, B08, 1
B08, Trade, 1572.000, 237, B08, S03, 1
B08, Trade, 2164.682, 182, S02, B08, 1
B08, Trade, 3043.818, 199, B08, S04, 1
B08, Trade, 3433.182, 201, B08, S03, 1
B08, Trade, 3629.500, 212, B08, S03, 1
B08, Trade, 4218.045, 220, S03, B08, 1
B08, Trade, 4416.136, 218, B08, S04, 1
B08, Trade, 5002.727, 208, S02, B08, 1
B08, Trade, 5102.227, 215, B08, S01, 1
B08, Trade, 5198.955, 213, B08, S01, 1
B08, Trade, 5296.273, 210, S00, B08, 1
B08, Trade, 5398.318, 202, S03, B08, 1
B08, Trade, 5492.500, 202, S03, B08, 1
B08, Trade, 5592.136, 187, S04, B08, 1
B08, Trade, 5787.682, 155, S00, B08, 1
B09, 33
B09, Trade, 98.455, 254, S05, B09, 1
B09, Trade, 196.955, 229, B09, S00, 1
B09, Trade, 295.773, 220, S02, B09, 1
B09, Trade, 490.909, 229, B09, S03, 1
B09, Trade, 689.727, 206, S02, B09, 1
B09, Trade, 785.773, 212, B09, S04, 1
B09, Trade, 884.364, 208, S00, B09, 1
B09, Trade, 982.045, 208, S01, B09, 1
B09, Trade, 1668.727, 200, S00, B09, 1
B09, Trade, 1767.273, 190, B09, S00, 1
B09, Trade, 1865.045, 187, B09, S01, 1
B09, Trade, 2159.636, 182, S01, B09, 1
B09, Trade, 2453.591, 165, B09, S00, 1
B09, Trade, 2552.682, 164, B09, S02, 1
B09, Trade, 2845.864, 159, B09, S00, 1
B09, Trade, 2944.636, 157, B09, S02, 1
B09, Trade, 4315.864, 217, S04, B09, 1
B09, Trade, 4512.364, 218, S05, B09, 1
B09, Trade, 4708.500, 217, B09, S05, 1
B09, Trade, 5002.682, 198, S04, B09, 1
B09, Trade, 5101.636, 217, B09, S02, 1
B09, Trade, 5198.864, 215, S04, B09, 1
B09, Trade, 5296.500, 211, S02, B09, 1
B09, Trade, 5394.773, 202, S00, B09, 1
B09, Trade, 5494.818, 172, S01, B09, 1
B09, Trade, 5590.818, 201, B09, S03, 1
B09, Trade, 5688.636, 196, B09, S03, 1
B09, Trade, 5788.409, 160, S01, B09, 1
B09, Trade, 5886.364, 178, B09, S00, 1
B09, Trade, 5982.773, 179, S04, B09, 1
B09, Trade, 6081.227, 161, S03, B09, 1
B09, Trade, 6180.000, 168, B09, S01, 1
B09, Trade, 6374.682, 165, S03, B09, 1
B10, 34
B10, Trade, 98.591, 290, B10, S04, 1
B10, Trade, 196.455, 256, B10, S05, 1
B10, Trade, 294.500, 244, B10, S01, 1
B10, Trade, 392.455, 219, S03, B10, 1
B10, Trade, 490.727, 238, B10, S04, 1
B10, Trade, 687.045, 231, B10, S00, 1
B10, Trade, 785.136, 195, S03, B10, 1
B10, Trade, 982.364, 207, B10, S03, 1
B10, Trade, 1275.545, 212, B10, S03, 1
B10, Trade, 1374.955, 247, B10, S05, 1
B10, Trade, 1472.818, 247, B10, S03, 1
B10, Trade, 1570.409, 241, S04, B10, 1
B10, Trade, 1667.955, 237, B10, S06, 1
B10, Trade, 2159.273, 181, S00, B10, 1
B10, Trade, 3042.455, 200, B10, S00, 1
B10, Trade, 3138.818, 178, S03, B10, 1
B10, Trade, 3336.591, 203, B10, S03, 1
B10, Trade, 3532.136, 221, B10, S04, 1
B10, Trade, 3728.455, 214, B10, S03, 1
B10, Trade, 4022.409, 236, B10, S02, 1
B10, Trade, 4121.045, 223, B10, S00, 1
B10, Trade, 4219.864, 220, B10, S01, 1
B10, Trade, 4610.500, 217, B10, S05, 1
B10, Trade, 5003.909, 199, S03, B10, 1
B10, Trade, 5101.045, 213, B10, S04, 1
B10, Trade, 5201.727, 210, B10, S00, 1
B10, Trade, 5297.045, 194, S04, B10, 1
B10, Trade, 5394.409, 202, B10, S02, 1
B10, Trade, 5592.591, 187, B10, S02, 1
B10, Trade, 5885.227, 167, S02, B10, 1
B10, Trade, 5982.682, 172, S01, B10, 1
B10, Trade, 6178.864, 167, B10, S03, 1
B10, Trade, 6277.136, 168, S01, B10, 1
B10, Trade, 6473.500, 231, B10, S04, 1
S00, 28
S00, Trade, 98.500, 91, B02, S00, 1
S00, Trade, 196.955, 229, B09, S00, 1
S00, Trade, 687.045, 231, B10, S00, 1
S00, Trade, 785.682, 204, B07, S00, 1
S00, Trade, 884.364, 208, S00, B09, 1
S00, Trade, 1571.273, 239, B07, S00, 1
S00, Trade, 1668.727, 200, S00, B09, 1
S00, Trade, 1767.273, 190, B09, S00, 1
S00, Trade, 1863.682, 184, B05, S00, 1
S00, Trade, 2159.273, 181, S00, B10, 1
S00, Trade, 2453.591, 165, B09, S00, 1
S00, Trade, 2551.591, 165, S00, B05, 1
S00, Trade, 2845.864, 159, B09, S00, 1
S00, Trade, 2943.591, 158, B04, S00, 1
S00, Trade, 3042.455, 200, B10, S00, 1
S00, Trade, 3727.500, 215, S00, B06, 1
