B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 0
B14, 0
B15, 0
B16, 0
B17, 0
B18, 0
B19, 2
S00, Trade, 35.750, 202, B21, S00, 1
S00, Trade, 83.950, 195, B19, S00, 1
S00, Trade, 87.138, 195, B35, S00, 1
S00, Trade, 97.063, 195, B27, S00, 1
S01, 7
S01, Trade, 5.850, 199, B26, S01, 1
S01, Trade, 36.425, 202, S01, B33, 1
S01, Trade, 59.675, 200, B29, S01, 1
S01, Trade, 69.788, 199, B34, S01, 1
S01, Trade, 83.888, 196, S01, B36, 1
S01, Trade, 98.050, 195, B21, S01, 1
S01, Trade, 100.988, 194, B19, S01, 1
S02, 7
S02, Trade, 2.162, 209, B31, S02, 1
S02, Trade, 29.750, 205, S02, B39, 1
S02, Trade, 44.175, 201, B23, S02, 1
S02, Trade, 53.325, 201, B28, S02, 1
S02, Trade, 70.563, 198, S02, B29, 1
S02, Trade, 84.213, 195, B33, S02, 1
S02, Trade, 98.200, 196, S02, B35, 1
S03, 6
S03, Trade, 9.500, 200, B27, S03, 1
S03, Trade, 16.250, 203, B24, S03, 1
S03, Trade, 29.250, 204, B35, S03, 1
S03, Trade, 53.663, 202, S03, B23, 1
S03, Trade, 71.425, 197, B24, S03, 1
S03, Trade, 98.488, 196, S03, B36, 1
S04, 6
S04, Trade, 3.488, 202, B20, S04, 1
S04, Trade, 35.250, 203, S04, B34, 1
S04, Trade, 53.750, 201, B39, S04, 1
S04, Trade, 58.588, 201, B27, S04, 1
S04, Trade, 70.613, 198, S04, B32, 1
S04, Trade, 99.375, 196, S04, B26, 1
S05, 7
S05, Trade, 4.050, 199, B21, S05, 1
S05, Trade, 33.650, 204, S05, B36, 1
S05, Trade, 65.800, 200, S05, B23, 1
S05, Trade, 66.288, 199, B26, S05, 1
S05, Trade, 83.138, 197, S05, B21, 1
S05, Trade, 85.775, 195, B28, S05, 1
S05, Trade, 96.088, 195, B20, S05, 1
S06, 7
S06, Trade, 7.963, 202, B25, S06, 1
S06, Trade, 11.787, 204, S06, B26, 1
S06, Trade, 30.975, 204, B24, S06, 1
S06, Trade, 35.575, 202, B27, S06, 1
S06, Trade, 58.775, 201, B23, S06, 1
S06, Trade, 70.163, 198, B37, S06, 1
S06, Trade, 100.425, 195, B23, S06, 1
S07, 5
S07, Trade, 4.038, 207, B36, S07, 1
S07, Trade, 33.700, 203, B23, S07, 1
S07, Trade, 61.800, 200, B20, S07, 1
S07, Trade, 69.775, 199, B31, S07, 1
S07, Trade, 97.900, 195, B23, S07, 1
S08, 8
S08, Trade, 9.075, 201, B30, S08, 1
S08, Trade, 29.625, 205, S08, B28, 1
S08, Trade, 30.950, 205, S08, B31, 1
S08, Trade, 44.238, 201, B29, S08, 1
S08, Trade, 60.338, 201, S08, B36, 1
S08, Trade, 69.363, 199, B38, S08, 1
S08, Trade, 85.788, 195, B37, S08, 1
S08, Trade, 100.213, 195, B37, S08, 1
S09, 6
S09, Trade, 8.588, 202, B28, S09, 1
S09, Trade, 17.462, 204, B23, S09, 1
S09, Trade, 28.925, 204, B37, S09, 1
S09, Trade, 32.812, 204, B32, S09, 1
S09, Trade, 68.613, 200, S09, B33, 1
S09, Trade, 71.825, 197, B21, S09, 1
S10, 8
S10, Trade, 9.025, 201, B22, S10, 1
S10, Trade, 10.625, 201, S10, B28, 1
S10, Trade, 29.662, 205, S10, B36, 1
S10, Trade, 35.500, 202, B37, S10, 1
S10, Trade, 59.088, 201, S10, B39, 1
S10, Trade, 62.238, 200, B26, S10, 1
S10, Trade, 72.563, 197, S10, B26, 1
S10, Trade, 82.950, 196, B24, S10, 1
S11, 6
S11, Trade, 1.137, 174, S11, B33, 1
S11, Trade, 30.100, 204, B38, S11, 1
S11, Trade, 43.975, 201, B32, S11, 1
S11, Trade, 63.588, 199, B32, S11, 1
S11, Trade, 72.038, 196, B20, S11, 1
S11, Trade, 97.788, 196, S11, B28, 1
S12, 4
S12, Trade, 10.275, 212, B38, S12, 1
S12, Trade, 58.700, 202, S12, B33, 1
S12, Trade, 62.588, 199, B22, S12, 1
S12, Trade, 70.088, 198, B30, S12, 1
S13, 5
S13, Trade, 31.275, 205, S13, B34, 1
S13, Trade, 61.563, 201, S13, B28, 1
S13, Trade, 70.875, 197, B39, S13, 1
S13, Trade, 72.000, 197, S13, B23, 1
S13, Trade, 103.875, 195, S13, B34, 1
S14, 6
S14, Trade, 7.563, 210, S14, B37, 1
S14, Trade, 36.262, 202, S14, B35, 1
S14, Trade, 60.563, 200, B35, S14, 1
S14, Trade, 67.875, 199, B36, S14, 1
S14, Trade, 98.038, 196, S14, B33, 1
S14, Trade, 99.488, 195, B32, S14, 1
S15, 6
S15, Trade, 5.350, 208, S15, B32, 1
S15, Trade, 43.875, 201, B24, S15, 1
S15, Trade, 60.575, 201, S15, B34, 1
S15, Trade, 71.575, 197, B22, S15, 1
S15, Trade, 73.763, 196, B25, S15, 1
S15, Trade, 98.338, 195, B39, S15, 1
S16, 7
S16, Trade, 8.013, 213, S16, B34, 1
S16, Trade, 31.312, 204, B25, S16, 1
S16, Trade, 33.812, 203, B22, S16, 1
S16, Trade, 53.700, 201, B26, S16, 1
S16, Trade, 62.038, 200, B24, S16, 1
S16, Trade, 83.200, 196, B20, S16, 1
S16, Trade, 103.838, 194, B29, S16, 1
S17, 6
S17, Trade, 8.075, 214, S17, B39, 1
S17, Trade, 33.062, 205, S17, B26, 1
S17, Trade, 43.863, 202, S17, B21, 1
S17, Trade, 82.925, 197, S17, B39, 1
S17, Trade, 98.613, 196, S17, B22, 1
S17, Trade, 100.913, 195, B30, S17, 1
S18, 5
S18, Trade, 34.562, 203, B29, S18, 1
S18, Trade, 69.850, 199, B35, S18, 1
S18, Trade, 72.525, 196, B38, S18, 1
S18, Trade, 82.725, 196, B31, S18, 1
S18, Trade, 100.538, 195, B24, S18, 1
S19, 3
S19, Trade, 36.500, 202, S19, B20, 1
S19, Trade, 60.763, 200, B37, S19, 1
S19, Trade, 71.050, 197, B27, S19, 1
S20, 2
S20, Trade, 7.275, 209, S20, B35, 1
S20, Trade, 30.512, 205, B21, S20, 1
S21, 0
S22, 0
S23, 0
S24, 0
S25, 0
S26, 0
S27, 0
S28, 0
S29, 0
S30, 0
S31, 0
S32, 0
S33, 0
S34, 0
S35, 0
S36, 0
S37, 0
S38, 0
S39, 0
